what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358536420373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358536427613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358536899792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358536915731
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537051274
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537057830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537104318
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1358537117534
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358537119122
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537120624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537140198
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1358537141751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358537219596
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358537222780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537225063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537236592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1358537236989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1358537237466
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358537238563
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1358537264360
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358537266165
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358537268370
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358537268930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358537271036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537272054
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537282676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358537284207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537285453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537297638
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1358537301205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537311452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537334675
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1358537335295
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1358537357762
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1358537358043
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358537360099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537375577
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358537639072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358539691926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358540017482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358540020526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358540435193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358540442074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358540448084
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1358540457523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358540477140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358540798264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358540799243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358540871871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358540877901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358541173984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358541202521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358541246772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358541265986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358541291554
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1358541292810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358541300912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358541301164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358541306981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358541307814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358541313557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358541315810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358543676434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358543677743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358870276405
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1358870276503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358870276969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358870278783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358870285411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358870304682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358870306306
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358870307559
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.line",1358870307610
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1358870309066
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1358870311312
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1358870312689
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358870313826
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358870314836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358870324244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358870348015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358870356735
executed,command,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.actions.comment",1358870366907
executed,command,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.actions.scriptEngine",1358870367311
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1358870368128
executed,command,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.actions.scriptEngine",1358870370030
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1358870370642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1358870386593
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1358870388280
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1358870391921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358870392196
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1358870392921
