what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1358446457853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358446468825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358451288362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358451290330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358457331956
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358457371160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358457394006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358457413093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358457428971
no handler,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1358457433969
no handler,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1358457433969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358457441386
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1358457442829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358457444801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358457446205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358523682310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358523686165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358524489891
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1358524516536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1358524516610
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1358524519625
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1358524521349
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1358524521844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358524522624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358524522805
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358524522882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358524523214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358524523614
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1358524530589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358524532669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358524534945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358524536092
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1358524536139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358524539371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358524541083
opened,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1358524541313
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1358524541340
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1358524541341
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1358524546669
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1358524547689
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1358524551002
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358524551855
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358524552238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358524552534
