what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359149850820
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359149858749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359149871981
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1359149876569
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1359149880203
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1359149889345
executed,command,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.actions.navigation.nextMethod",1359149890058
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1359149920761
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359150013012
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1359150048200
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359150055818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359150056572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359150059316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359150066322
executed,command,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.actions.pyOrganizeImports",1359150066445
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1359150078643
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359150084587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359150086200
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1359150086226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359150089286
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1359150089661
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1359150090117
